match_url,map1_name,map2_name,map3_name
https://www.hltv.org/matches/2386720/-,Dust2,Mirage,Train
https://www.hltv.org/matches/2386544/-,Nuke,Ancient,Train
https://www.hltv.org/matches/2386542/-,Dust2,Nuke,Ancient
https://www.hltv.org/matches/2386208/-,Dust2,Nuke,Mirage
https://www.hltv.org/matches/2386767/-,Inferno,Mirage,Overpass
https://www.hltv.org/matches/2386227/-,Mirage,Dust2,Nuke
https://www.hltv.org/matches/2386677/-,Dust2,Nuke,Inferno
https://www.hltv.org/matches/2386329/-,Ancient,Nuke,Inferno
https://www.hltv.org/matches/2385961/-,Inferno,Dust2,Ancient
https://www.hltv.org/matches/2386207/-,Ancient,Train,Inferno
https://www.hltv.org/matches/2386719/-,Dust2,Mirage,Inferno
https://www.hltv.org/matches/2386521/-,Inferno,Mirage,Dust2
https://www.hltv.org/matches/2386416/-,Mirage,Ancient,Train
https://www.hltv.org/matches/2386523/-,Inferno,Ancient,Nuke
https://www.hltv.org/matches/2386524/-,Inferno,Mirage,Ancient
https://www.hltv.org/matches/2386522/-,Dust2,Nuke,Ancient
https://www.hltv.org/matches/2386676/-,Ancient,Mirage,Dust2
https://www.hltv.org/matches/2386226/-,Mirage,Nuke,Ancient
https://www.hltv.org/matches/2386330/-,Ancient,Mirage,Train
https://www.hltv.org/matches/2385960/-,Nuke,Ancient,Inferno
https://www.hltv.org/matches/2386206/-,Ancient,Nuke,Train
https://www.hltv.org/matches/2386415/-,Ancient,Mirage,Train
https://www.hltv.org/matches/2386718/-,Dust2,Nuke,Ancient
https://www.hltv.org/matches/2386204/-,Ancient,Overpass,Mirage
https://www.hltv.org/matches/2386717/-,Mirage,Dust2,Ancient
https://www.hltv.org/matches/2386414/-,Nuke,Mirage,Ancient
https://www.hltv.org/matches/2386331/-,Nuke,Dust2,Train
https://www.hltv.org/matches/2386610/-,Nuke,Ancient,Dust2
https://www.hltv.org/matches/2386611/-,Dust2,Ancient,Nuke
https://www.hltv.org/matches/2386609/-,Nuke,Train,Mirage
https://www.hltv.org/matches/2386313/-,Ancient,Dust2,Mirage
https://www.hltv.org/matches/2386607/-,Mirage,Dust2,
https://www.hltv.org/matches/2386614/-,,,
https://www.hltv.org/matches/2386583/-,Dust2,Ancient,Mirage
https://www.hltv.org/matches/2386312/-,Ancient,Nuke,Mirage
https://www.hltv.org/matches/2386577/-,Inferno,Dust2,Train
https://www.hltv.org/matches/2386579/-,Inferno,Dust2,Mirage
https://www.hltv.org/matches/2386580/-,Dust2,Mirage,Ancient
https://www.hltv.org/matches/2386578/-,Overpass,Mirage,Dust2
https://www.hltv.org/matches/2386644/-,,,
https://www.hltv.org/matches/2386643/-,Ancient,Inferno,Mirage
https://www.hltv.org/matches/2386584/-,,,
https://www.hltv.org/matches/2386582/-,,,
https://www.hltv.org/matches/2386531/-,Dust2,Train,Mirage
https://www.hltv.org/matches/2386328/-,Mirage,Dust2,Train
https://www.hltv.org/matches/2386535/-,Ancient,Train,Inferno
https://www.hltv.org/matches/2386533/-,Ancient,Inferno,Nuke
https://www.hltv.org/matches/2386537/-,Ancient,Dust2,Nuke
https://www.hltv.org/matches/2386536/-,Ancient,Train,Overpass
https://www.hltv.org/matches/2385958/-,Inferno,Mirage,Dust2
https://www.hltv.org/matches/2386532/-,Overpass,Dust2,Inferno
https://www.hltv.org/matches/2385959/-,Ancient,Nuke,Mirage
https://www.hltv.org/matches/2386534/-,Dust2,Inferno,Mirage
https://www.hltv.org/matches/2386538/-,,,
https://www.hltv.org/matches/2386642/-,Inferno,Mirage,Overpass
https://www.hltv.org/matches/2386327/-,Dust2,Ancient,Mirage
https://www.hltv.org/matches/2386203/-,Nuke,Ancient,
https://www.hltv.org/matches/2385956/-,Inferno,Overpass,Nuke
https://www.hltv.org/matches/2385957/-,Inferno,Mirage,Ancient
https://www.hltv.org/matches/2386651/-,Ancient,Dust2,Train
https://www.hltv.org/matches/2386413/-,Overpass,Inferno,Mirage
https://www.hltv.org/matches/2386519/-,Dust2,Inferno,Overpass
https://www.hltv.org/matches/2386202/-,Nuke,Inferno,Mirage
https://www.hltv.org/matches/2386225/-,Nuke,Ancient,
https://www.hltv.org/matches/2386517/-,Ancient,Inferno,Mirage
https://www.hltv.org/matches/2386518/-,Nuke,Inferno,Dust2
https://www.hltv.org/matches/2386641/-,Dust2,Nuke,Ancient
https://www.hltv.org/matches/2385954/-,Inferno,Mirage,Overpass
https://www.hltv.org/matches/2386520/-,Inferno,Ancient,Dust2
https://www.hltv.org/matches/2386326/-,Nuke,Inferno,Mirage
